title,authors,year,venue,doi,arxiv_id,landing_url,search_role,in_final_review,screening_decision,exclusion_reason,verification_level,full_text_status,license,redistribution_status
PersonaAct: Simulating Short-Video Users with Personalized Agents for Counterfactual Filter Bubble Auditing,Shilong Zhao; Qinggang Yang; Zhiyi Yin; Xiaoshi Wang; Zhenxing Chen; Du Su; Xueqi Cheng,2026,arXiv,,2601.22547,https://arxiv.org/abs/2601.22547,background; filter_bubble,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Personalize-then-Store: Benchmarking and Learning Personalized Memory for Long-horizon Agents,Yeonjun In; Wonjoong Kim; Sangwu Park; Kanghoon Yoon; Chanyoung Park,2026,arXiv,,2605.25535,https://arxiv.org/abs/2605.25535,background; memory_selection,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Re-Centering Humans in LLM Personalization,Lechen Zhang; Jiarui Liu; Tal August,2026,arXiv,,2606.06614,https://arxiv.org/abs/2606.06614,closest; human_evaluation,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Recalling Too Well: Sycophancy Evaluation and Mitigation in Memory-Augmented Models,Shelly Bensal; Axel Magnuson; Aparna Balagopalan; Daniel M. Bikel,2026,arXiv,,2606.10949,https://arxiv.org/abs/2606.10949,intervention; memory_sycophancy,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Response-Aware User Memory Selection for LLM Personalization,Jillian Fisher; Jennifer Neville; Chan Young Park,2026,arXiv,,2604.14473,https://arxiv.org/abs/2604.14473,intervention; memory_selection,True,include,,metadata_verified,open_pdf,CC-BY-NC-SA-4.0,allowed
The Chameleon's Limit: Investigating Persona Collapse and Homogenization in Large Language Models,Yunze Xiao; Vivienne J. Zhang; Chenghao Yang; Ningshan Ma; Weihao Xuan; Jen-tse Huang,2026,arXiv,,2604.24698,https://arxiv.org/abs/2604.24698,closest; persona_homogenization,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
The Personalization Trap: How User Memory Alters Emotional Reasoning in LLMs,Xi Fang; Weijie Xu; Yuchong Zhang; Scott Nickleach; Stephanie Eckman; Chandan K. Reddy,2026,Proceedings of the 64th Annual Meeting of the Association for Computational Linguistics (Volume 2: Short Papers),10.18653/v1/2026.acl-short.43,,https://aclanthology.org/2026.acl-short.43/,closest; irrelevant_background,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Towards Proactive Personalization through Profile Customization for Individual Users in Dialogues,Xiaotian Zhang; Yuan Wang; Ruizhe Chen; Zeya Wang; Runchen Hou; Zuozhu Liu,2026,Findings of the Association for Computational Linguistics: ACL 2026,10.18653/v1/2026.findings-acl.159,,https://aclanthology.org/2026.findings-acl.159/,background; proactive_personalization,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Unpacking Human Preference for LLMs: Demographically Aware Evaluation with the HUMAINE Framework,Nora Petrova; Andrew Gordon; Enzo Blindow,2026,ICLR 2026,,2603.04409,https://openreview.net/forum?id=kVaE2kYjtV,measurement; human_evaluation,True,include,,metadata_verified,open_pdf,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,not_confirmed
A Survey on Personalized Alignment—The Missing Piece for Large Language Models in Real-World Applications,Jian Guan; Junfei Wu; Jia-Nan Li; Chuanqi Cheng; Wei Wu,2025,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.277,,https://aclanthology.org/2025.findings-acl.277/,background; survey,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
CarMem: Enhancing Long-Term Memory in LLM Voice Assistants through Category-Bounding,Johannes Kirmayr; Lukas Stappen; Phillip Schneider; Florian Matthes; Elisabeth Andre,2025,Proceedings of the 31st International Conference on Computational Linguistics: Industry Track,,,https://aclanthology.org/2025.coling-industry.29/,intervention; memory_control,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Contextualized Evaluations: Judging Language Model Responses to Underspecified Queries,Chaitanya Malaviya; Joseph Chee Chang; Dan Roth; Mohit Iyyer; Mark Yatskar; Kyle Lo,2025,Transactions of the Association for Computational Linguistics,10.1162/tacl.a.24,,https://aclanthology.org/2025.tacl-1.41/,measurement; human_evaluation,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
"Diverse, not Short: A Length-Controlled Data Selection Strategy for Improving Response Diversity of Language Models",Vijeta Deshpande; Debasmita Ghose; John D Patterson; Roger E. Beaty; Anna Rumshisky,2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2025.emnlp-main.1721,,https://aclanthology.org/2025.emnlp-main.1721/,measurement; semantic_diversity,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Echoes in AI: Quantifying lack of plot diversity in LLM outputs,Weijia Xu; Nebojsa Jojic; Sudha Rao; Chris Brockett; Bill Dolan,2025,Proceedings of the National Academy of Sciences 122(35),10.1073/pnas.2504966122,2501.00273,https://pmc.ncbi.nlm.nih.gov/articles/PMC12415252/,background; semantic_diversity,False,background_only,,metadata_verified,open_pdf,CC-BY-NC-ND-4.0,allowed
Enhancing Long-term RAG Chatbots with Psychological Models of Memory Importance and Forgetting,Ryuichi Sumida; Koji Inoue; Tatsuya Kawahara,2025,Dialogue & Discourse,10.5210/dad.2025.203,2409.12524,https://journals.uic.edu/ojs/index.php/dad/article/view/14138,background; long_term_memory; human_evaluation,False,background_only,,metadata_verified,open_pdf,CC-BY-3.0,allowed
Few-shot Personalization of LLMs with Mis-aligned Responses,Jaehyung Kim; Yiming Yang (杨亦鸣),2025,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),10.18653/v1/2025.naacl-long.598,,https://aclanthology.org/2025.naacl-long.598/,background; few_shot_personalization,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
IP-Dialog: Evaluating Implicit Personalization in Dialogue Systems with Synthetic Data,Bo Peng; Zhiheng Wang; Heyang Gong; Chaochao Lu,2025,Findings of the Association for Computational Linguistics: EMNLP 2025,10.18653/v1/2025.findings-emnlp.923,,https://aclanthology.org/2025.findings-emnlp.923/,background; personalized_dialogue,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,Di Wu; Hongwei Wang; Wenhao Yu; Yuwei Zhang; Kai-Wei Chang; Dong Yu,2025,ICLR 2025,,2410.10813,https://arxiv.org/abs/2410.10813,background; long_term_memory,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
PERSONA: A Reproducible Testbed for Pluralistic Alignment,Louis Castricato; Nathan Lile; Rafael Rafailov; Jan-Philipp Fränken; Chelsea Finn,2025,Proceedings of the 31st International Conference on Computational Linguistics,,,https://aclanthology.org/2025.coling-main.752/,background; persona_testbed,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
PersonaLens: A Benchmark for Personalization Evaluation in Conversational AI Assistants,Zheng Zhao; Clara Vania; Subhradeep Kayal; Naila Khan; Shay B. Cohen; Emine Yilmaz,2025,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.927,,https://aclanthology.org/2025.findings-acl.927/,background; persona_evaluation,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Stereotype or Personalization? User Identity Biases Chatbot Recommendations,Anjali Kantharuban; Jeremiah Milbauer; Maarten Sap; Emma Strubell; Graham Neubig,2025,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.1254,,https://aclanthology.org/2025.findings-acl.1254/,closest; identity_cues,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
The Basic B*** Effect: The Use of LLM-based Agents Reduces the Distinctiveness and Diversity of People's Choices,Sandra C. Matz; C. Blaine Horton; Sofie Goethals,2025,arXiv,,2509.02910,https://arxiv.org/abs/2509.02910,closest; choice_narrowing,True,include,,metadata_verified,open_pdf,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,not_confirmed
The Prompt Makes the Person(a): A Systematic Evaluation of Sociodemographic Persona Prompting for Large Language Models,Marlene Lutz; Indira Sen; Georg Ahnert; Elisa Rogers; Markus Strohmaier,2025,Findings of the Association for Computational Linguistics: EMNLP 2025,10.18653/v1/2025.findings-emnlp.1261,,https://aclanthology.org/2025.findings-emnlp.1261/,background; persona_cues,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
"We're Different, We're the Same: Creative Homogeneity Across LLMs",Emily Wenger; Yoed Kenett,2025,arXiv,,2501.19361,https://arxiv.org/abs/2501.19361,background; semantic_diversity,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
When Personalization Meets Reality: A Multi-Faceted Analysis of Personalized Preference Learning,Yijiang River Dong; Tiancheng Hu; Yinhong Liu; Ahmet Üstün; Nigel Collier,2025,Findings of the Association for Computational Linguistics: EMNLP 2025,10.18653/v1/2025.findings-emnlp.916,,https://aclanthology.org/2025.findings-emnlp.916/,background; personalization_evaluation,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Defending Against Indirect Prompt Injection Attacks With Spotlighting,Keegan Hines; Gary Lopez; Matthew Hall; Federico Zarfati; Yonatan Zunger; Emre Kiciman,2024,arXiv,,2403.14720,https://arxiv.org/abs/2403.14720,intervention; input_boundary,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
How Does Empowering Users with Greater System Control Affect News Filter Bubbles?,Ping Liu; Karthik Shivaram; Aron Culotta; Matthew Shapiro; Mustafa Bilgic,2024,ICWSM 2024,10.1609/icwsm.v18i1.31364,2607.15284,https://arxiv.org/abs/2607.15284,background; filter_bubble; user_control,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
How Easily do Irrelevant Inputs Skew the Responses of Large Language Models?,Siye Wu; Jian Xie; Jiangjie Chen; Tinghui Zhu; Kai Zhang; Yanghua Xiao,2024,COLM 2024,,2404.03302,https://arxiv.org/abs/2404.03302,background; irrelevant_input,False,background_only,,metadata_verified,open_pdf,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,not_confirmed
How Far Can We Extract Diverse Perspectives from Large Language Models?,Shirley Anugrah Hayati; Minhwa Lee; Dheeraj Rajagopal; Dongyeop Kang,2024,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2024.emnlp-main.306,,https://aclanthology.org/2024.emnlp-main.306/,measurement; intervention; perspective_coverage,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
LLM Evaluators Recognize and Favor Their Own Generations,"Panickssery, Arjun; Bowman, Samuel R.; Feng, Shi",2024,NeurIPS 2024,10.52202/079017-2197,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7f1f0218e45f5414c79c0679633e47bc-Abstract-Conference.html,evaluation_validity; llm_as_judge,True,include,,metadata_verified,open_pdf,,not_confirmed
LaMP: When Large Language Models Meet Personalization,Alireza Salemi; Sheshera Mysore; Michael Bendersky; Hamed Zamani,2024,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2024.acl-long.399,,https://aclanthology.org/2024.acl-long.399/,background; personalization_benchmark,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Learning Personalized Alignment for Evaluating Open-ended Text Generation,Danqing Wang; Kevin Yang; Hanlin Zhu; Xiaomeng Yang; Andrew Cohen; Lei Li; Yuandong Tian,2024,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2024.emnlp-main.737,,https://aclanthology.org/2024.emnlp-main.737/,background; personalized_alignment,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
MirrorStories: Reflecting Diversity through Personalized Narrative Generation with Large Language Models,Sarfaroz Yunusov; Hamza Sidat; Ali Emami,2024,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2024.emnlp-main.382,,https://aclanthology.org/2024.emnlp-main.382/,closest; human_evaluation,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Virtual Personas for Language Models via an Anthology of Backstories,Suhong Moon; Marwa Abdulhai; Minwoo Kang; Joseph Suh; Widyadewi Soedarmadji; Eran Kohen Behar; David M. Chan,2024,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2024.emnlp-main.1110,,https://aclanthology.org/2024.emnlp-main.1110/,background; virtual_personas,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Evaluating Evaluation Metrics: A Framework for Analyzing NLG Evaluation Metrics using Measurement Theory,Ziang Xiao; Susu Zhang; Vivian Lai; Q. Vera Liao,2023,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2023.emnlp-main.676,,https://aclanthology.org/2023.emnlp-main.676/,evaluation_validity; llm_as_judge,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Filter bubbles and affective polarization in user-personalized large language model outputs,Tomo Lazovich,2023,Proceedings on,,,https://proceedings.mlr.press/v239/lazovich23a.html,closest; filter_bubble,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,Lianmin Zheng; Wei-Lin Chiang; Ying Sheng; Siyuan Zhuang; Zhanghao Wu; Yonghao Zhuang; Zi Lin; Zhuohan Li; Dacheng Li; Eric P. Xing; Hao Zhang; Joseph E. Gonzalez; Ion Stoica,2023,NeurIPS 2023 Datasets and Benchmarks,10.52202/075280-2020,2306.05685,https://arxiv.org/abs/2306.05685,evaluation_validity; llm_as_judge,True,include,,metadata_verified,open_pdf,ARXIV-NONEXCLUSIVE-DISTRIB-1.0,not_confirmed
"Generate, Evaluate, and Select: A Dialogue System with a Response Evaluator for Diversity-Aware Response Generation",Ryoma Sakaeda; Daisuke Kawahara,2022,Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Student Research Workshop,10.18653/v1/2022.naacl-srw.10,,https://aclanthology.org/2022.naacl-srw.10/,background; diverse_generation,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Measuring and Improving Semantic Diversity of Dialogue Generation,Seungju Han; Beomsu Kim; Buru Chang,2022,Findings of the Association for Computational Linguistics: EMNLP 2022,10.18653/v1/2022.findings-emnlp.66,,https://aclanthology.org/2022.findings-emnlp.66/,measurement; semantic_diversity,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Personalized Response Generation via Generative Split Memory Network,Yuwei Wu; Xuezhe Ma; Diyi Yang,2021,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,10.18653/v1/2021.naacl-main.157,,https://aclanthology.org/2021.naacl-main.157/,background; personalized_response_generation,False,background_only,,metadata_verified,open_pdf,CC-BY-4.0,allowed
Rethinking the Agreement in Human Evaluation Tasks,Jacopo Amidei; Paul Piwek; Alistair Willis,2018,Proceedings of the 27th International Conference on Computational Linguistics,,,https://aclanthology.org/C18-1281/,evaluation_validity; human_agreement,True,include,,metadata_verified,open_pdf,CC-BY-4.0,allowed
